Country of Origin,Variety,Processing Method,Aroma,Flavor,Acidity
Mexico,Typica,Washed / Wet,7.67,7.33,7.17
Peru,,Washed / Wet,7.42,7.42,7.33
Guatemala,Bourbon,Washed / Wet,7.42,7.33,7.42
Mexico,Caturra,Washed / Wet,7.42,7.33,7.17
Mexico,Typica,Washed / Wet,7.42,7.42,7.25
Colombia,Caturra,Natural / Dry,7.5,7.42,7.17
Colombia,,,7.75,7.33,7
United States (Hawaii),Peaberry,,7.83,7,7.58
Colombia,Caturra,Washed / Wet,7.5,7.33,7.17
Honduras,Caturra,Washed / Wet,7.5,7.5,7.17
Mexico,,,7.67,7.42,7.42
Brazil,Catuai,Natural / Dry,7.25,7.33,7.33
Honduras,Catuai,Washed / Wet,7.58,7.42,7.42
Brazil,Yellow Bourbon,Other,7.17,7.33,7.25
Philippines,Other,Washed / Wet,7.08,7.33,7.33
Malawi,Gesha,Washed / Wet,7.75,7.33,7.33
Honduras,Catuai,Washed / Wet,7.33,7.33,7.33
Mexico,Typica,Washed / Wet,7.58,7.42,7.33
Mexico,Typica,Washed / Wet,7.33,7.25,7.42
Brazil,Catuai,Natural / Dry,7.5,7.58,7.5
Taiwan,Typica,Natural / Dry,7.83,7.75,7.83
Brazil,Yellow Bourbon,Natural / Dry,7.17,7.42,7.08
Nicaragua,Catuai,Washed / Wet,7.08,7.5,7.17
Honduras,Catuai,Washed / Wet,7.42,7.17,7.5
Guatemala,Pacamara,Washed / Wet,7.33,7.42,7.25
"Tanzania, United Republic Of",Other,Washed / Wet,7.33,7.17,7.5
Taiwan,Typica,Semi-washed / Semi-pulped,7.5,7.5,7.25
Guatemala,Caturra,Washed / Wet,7.5,7.33,7.58
Mexico,Typica,Washed / Wet,7.42,7.42,7.33
Nicaragua,,Washed / Wet,7.33,7.5,7.17
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.67,7.17,7.33
Mexico,Caturra,Washed / Wet,7.75,7.58,7.25
Costa Rica,Caturra,Washed / Wet,7.5,7.5,7.17
Honduras,Catuai,Natural / Dry,7.42,7.33,7.42
Thailand,Caturra,Washed / Wet,6.83,7.42,7.17
Philippines,Typica,Natural / Dry,7.25,7.25,7.08
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.58,7.17,7.33
Malawi,Caturra,Washed / Wet,7.58,7.25,7.08
Costa Rica,Catuai,Washed / Wet,7.33,7.08,7.25
Brazil,Catuai,Natural / Dry,7.42,7.42,7.42
Mexico,Typica,Natural / Dry,7.42,7.25,7.75
Guatemala,Caturra,Washed / Wet,7.42,7.25,7.25
Brazil,Mundo Novo,Natural / Dry,7.42,7.33,7.42
United States (Hawaii),,,7.25,7.75,7.67
Ethiopia,,Natural / Dry,7.42,7.33,7.33
Brazil,Mundo Novo,Natural / Dry,7.58,7.42,7.25
Nicaragua,Other,Washed / Wet,7.33,7.33,7.42
United States,Pache Comun,Natural / Dry,7.42,7.17,7.42
"Tanzania, United Republic Of",Other,Washed / Wet,7.42,7.33,7.25
Costa Rica,Caturra,Washed / Wet,7.42,7.25,7.25
United States (Puerto Rico),Other,Washed / Wet,7.67,7.75,7.58
Mexico,Typica,Washed / Wet,7.25,7.42,7.33
Mexico,Typica,Washed / Wet,7.33,7.25,7.42
Mexico,Typica,Washed / Wet,7.33,7.33,7.42
Mexico,Typica,Washed / Wet,7.42,7.33,7.42
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.42,7.42,7.58
Brazil,Bourbon,Pulped natural / honey,7.25,7.25,7.5
El Salvador,Bourbon,Washed / Wet,7.42,7.08,7.33
Brazil,Yellow Bourbon,Pulped natural / honey,7.33,7.17,7.67
Guatemala,Bourbon,Washed / Wet,7.42,7.25,7.5
Colombia,Caturra,Washed / Wet,7.67,7.5,5.25
Guatemala,Bourbon,Washed / Wet,7.5,7.25,7.25
Taiwan,Typica,Washed / Wet,7.25,7.17,7.25
Honduras,Caturra,Natural / Dry,7.42,7.25,7.33
Brazil,Mundo Novo,Natural / Dry,7.67,7.75,7.75
"Tanzania, United Republic Of",Other,Washed / Wet,7.33,7.33,7.42
Uganda,SL14,Natural / Dry,7.33,6.92,7.33
Taiwan,Typica,Semi-washed / Semi-pulped,7.5,6.92,7.33
Thailand,,Washed / Wet,7.33,7.42,7.42
Mexico,Other,Washed / Wet,7.08,7.33,7.33
Mexico,Typica,Washed / Wet,7.58,7.67,7.67
Taiwan,Other,Washed / Wet,7.33,7.17,7.33
Guatemala,Bourbon,Washed / Wet,7.67,7.67,7.58
Kenya,SL28,Washed / Wet,7.17,7.58,7.5
Mexico,Bourbon,Washed / Wet,7.5,7.33,7.42
Myanmar,Other,Other,7.17,7.42,7.58
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.42,7.08,7.17
"Tanzania, United Republic Of",Other,Washed / Wet,7.33,7.17,7.25
Brazil,Yellow Bourbon,Natural / Dry,7.25,7.33,7.25
Taiwan,Typica,Washed / Wet,7.92,7.67,7.08
Brazil,Bourbon,Natural / Dry,7.17,7.42,7.25
Nicaragua,Caturra,Washed / Wet,7.33,7.08,7
Guatemala,Pacas,Washed / Wet,7.58,7.42,7.5
Taiwan,Typica,Washed / Wet,7.42,7.25,7.25
Taiwan,Typica,Other,7.25,7.17,7.08
Taiwan,Typica,Washed / Wet,7.42,7.25,7.25
Mexico,Typica,Washed / Wet,7.58,7.33,7.5
Thailand,Peaberry,,7.67,7.58,7.33
Laos,Catimor,Washed / Wet,7.42,7.33,7.17
Guatemala,Caturra,Washed / Wet,7.67,7.25,7.33
Mexico,Catuai,Semi-washed / Semi-pulped,7.17,7.08,7.42
Mexico,Typica,Washed / Wet,7.33,7.25,7.33
Mexico,Bourbon,Washed / Wet,7.5,7.17,7.25
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.42,7.33,7.25
Colombia,,,7.33,7.33,6.83
Brazil,,Natural / Dry,7.17,7.25,7.17
Myanmar,Catuai,Washed / Wet,6.92,7.5,7.58
Guatemala,Caturra,Washed / Wet,7.5,7.33,7.42
Nicaragua,Other,Washed / Wet,7.25,7.25,7.25
Honduras,Caturra,Natural / Dry,7.5,7.33,7.42
Panama,Caturra,Other,7.25,7.33,7.33
Honduras,Catuai,Washed / Wet,7.42,7.17,7.42
Honduras,Catuai,Natural / Dry,7.25,7.33,7.5
Costa Rica,Caturra,Washed / Wet,7.33,7.33,7.25
Mexico,Typica,Washed / Wet,7.58,7.33,7.25
Haiti,Typica,Washed / Wet,7.42,7,7.25
United States (Hawaii),Arusha,Natural / Dry,7.08,7.33,7.25
Taiwan,Typica,Other,7.33,7.08,7.08
Indonesia,Mandheling,Semi-washed / Semi-pulped,7.58,7.42,7.67
Guatemala,Bourbon,Washed / Wet,7.67,7.42,7.17
Costa Rica,Caturra,Washed / Wet,7.83,7.5,7.67
Malawi,Caturra,Washed / Wet,7.5,7.25,7.17
Mexico,Typica,Washed / Wet,7.25,7.17,7.25
Colombia,Caturra,Natural / Dry,7.67,7.5,7.67
Guatemala,Bourbon,Washed / Wet,7.67,7.17,7.5
Guatemala,Bourbon,Washed / Wet,7,7.33,7.33
Guatemala,Bourbon,Washed / Wet,7,7.5,7.17
Colombia,,,7.17,7.25,7.42
Brazil,,,7.33,7.25,7.08
Nicaragua,,,7.08,7.5,7.25
"Tanzania, United Republic Of",Other,Washed / Wet,7.25,7.08,7.33
Brazil,Bourbon,Semi-washed / Semi-pulped,7.42,7.25,7
Honduras,Caturra,Washed / Wet,7.5,7.17,7.42
Guatemala,Bourbon,Natural / Dry,7.17,7.42,7.5
United States (Hawaii),,,7.42,7.58,7.92
Colombia,,,7.08,7.25,7.5
Taiwan,Other,Natural / Dry,7.17,7.17,7.42
Guatemala,Caturra,Washed / Wet,7.33,7.25,7.17
Honduras,Catuai,Washed / Wet,7.58,7.33,7.17
Mauritius,,,7.25,7.25,7.17
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.25,7.33,7.5
Myanmar,Other,Washed / Wet,7.17,7.33,7.42
Guatemala,Other,Washed / Wet,7.5,7.17,7.5
Brazil,Yellow Bourbon,Semi-washed / Semi-pulped,7.42,7.42,7.33
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.42,7.33,7.58
Guatemala,Bourbon,Washed / Wet,7.5,7.5,7.67
Mexico,Typica,Washed / Wet,7.25,7.25,7.33
Honduras,,,7.25,7.42,7.42
Taiwan,Typica,Washed / Wet,7.58,7.17,7.17
El Salvador,Bourbon,Washed / Wet,7.33,7.17,7.08
China,Other,Washed / Wet,7.25,7.08,7.17
Taiwan,Typica,Washed / Wet,7.25,7.25,7.25
Mexico,Typica,Washed / Wet,6.92,7.17,7.5
Mexico,Caturra,Washed / Wet,7.42,7.08,7.33
Burundi,,,7.08,7.25,7.33
"Tanzania, United Republic Of",Bourbon,Washed / Wet,7.25,7.17,7.25
"Tanzania, United Republic Of",Other,Washed / Wet,7.25,7.17,7.25
Taiwan,Yellow Bourbon,Other,7.25,7.25,7.25
Guatemala,Bourbon,Washed / Wet,7.33,7.33,7.5
Mexico,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.33
United States (Hawaii),Hawaiian Kona,Washed / Wet,7.17,7.5,7.33
Ethiopia,,,7.25,7.25,7.33
Brazil,Catuai,Natural / Dry,7.17,7.33,7.08
Honduras,Caturra,Natural / Dry,7.25,7.25,7
Mexico,Caturra,Washed / Wet,7.25,7.17,7.33
Myanmar,Other,Natural / Dry,8,7.08,7.33
Myanmar,Catuai,Natural / Dry,7.42,7,7
Nicaragua,Caturra,Washed / Wet,7.08,6.92,7.25
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.5,7.08,7.67
Colombia,Typica,Washed / Wet,7.42,8,7.75
Taiwan,Typica,Semi-washed / Semi-pulped,7.25,7.08,7.25
Guatemala,Caturra,Washed / Wet,7,7.17,7.33
Mexico,Caturra,Washed / Wet,7.58,7.33,7.25
Vietnam,Catimor,Other,7.42,7.25,7.58
Nicaragua,Caturra,Washed / Wet,7.17,7.08,7.33
Honduras,Catuai,Washed / Wet,7.25,7.25,7.17
Guatemala,Bourbon,Washed / Wet,7.33,7.33,7.17
Mexico,Typica,Washed / Wet,7.33,7.08,7.42
Mexico,Typica,Washed / Wet,7.58,7.42,7.5
Mexico,Bourbon,Washed / Wet,7.33,7.33,7.08
Guatemala,Bourbon,Washed / Wet,7.33,7.33,7.33
United States (Hawaii),,,7.58,7.5,7.33
Brazil,Bourbon,Pulped natural / honey,7.17,7.17,7.17
Taiwan,Typica,Washed / Wet,7.42,7.25,7.17
Nicaragua,,Natural / Dry,7.25,7.17,7.25
Taiwan,Typica,Other,7.25,7.25,7.25
Taiwan,Typica,Washed / Wet,7.25,7.25,7
Taiwan,Typica,Semi-washed / Semi-pulped,7.25,7.25,7.08
Mexico,Typica,Washed / Wet,7.33,7.17,7.08
Mexico,Typica,Washed / Wet,7.25,7.08,7.17
Nicaragua,Caturra,Washed / Wet,7.33,7.08,7.08
Myanmar,Other,Washed / Wet,7.17,7.33,7.42
Mexico,Typica,Washed / Wet,7.58,7.75,7.5
Taiwan,Typica,Washed / Wet,7.25,7.25,7
Thailand,,Washed / Wet,7.33,6.67,7.42
Mexico,Typica,Washed / Wet,7.25,7.25,7.17
Mexico,Other,Washed / Wet,7.08,7.33,7.33
Ethiopia,,,7.42,7.42,7.92
Colombia,,Washed / Wet,7.83,7.67,7.75
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.5,7,6.92
Mexico,Bourbon,Washed / Wet,7.33,7.08,7.33
Mexico,Other,Washed / Wet,7.17,7.17,7.25
Mexico,Bourbon,Washed / Wet,7.5,7.17,7.17
Mexico,Catuai,Washed / Wet,7.17,7.08,7.08
Mexico,Typica,Natural / Dry,7.33,7.25,7.42
Mexico,Mundo Novo,Washed / Wet,7.17,7.33,7.58
United States (Hawaii),,,7.5,7.42,7.42
Kenya,SL34,Washed / Wet,7,7.08,7.17
Guatemala,Bourbon,Washed / Wet,7.33,7.25,7.33
Nicaragua,Caturra,Washed / Wet,6.83,7.17,6.92
Mexico,Typica,Washed / Wet,7.17,7.08,7.25
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.58,7.08,7.17
Guatemala,Bourbon,Washed / Wet,7.5,7.42,7.58
Taiwan,Typica,Natural / Dry,7.75,7.33,7.33
Taiwan,Typica,Washed / Wet,7.08,7.08,7
Thailand,,Washed / Wet,7.25,7.08,7.5
Peru,,Washed / Wet,7,7.08,7.25
Costa Rica,Catuai,Washed / Wet,7.58,7.5,7.75
Mexico,Typica,Washed / Wet,7.58,7.08,7
Mexico,Bourbon,Washed / Wet,7.58,7.08,7.58
Mexico,Bourbon,Washed / Wet,7.25,7.08,7.17
Mexico,Bourbon,Washed / Wet,7.25,7.17,7.08
Mexico,Typica,Washed / Wet,7.33,7.25,7.08
Guatemala,Bourbon,Washed / Wet,7.58,7.33,7.33
Mexico,Typica,Washed / Wet,7.25,6.83,7.08
Guatemala,Bourbon,Washed / Wet,7.42,7.42,7.58
El Salvador,Bourbon,Washed / Wet,7.25,7.08,6.83
Thailand,,Washed / Wet,6.92,7.17,7.42
Guatemala,Bourbon,Washed / Wet,7.5,7,7.08
Mexico,Typica,Washed / Wet,7.42,7.25,7.58
Mexico,Caturra,Washed / Wet,7.33,7.17,6.75
Mexico,Mundo Novo,Washed / Wet,6.92,7.17,7.17
Thailand,Peaberry,,7.17,7.17,7
Mexico,Typica,Washed / Wet,7.08,7,7.33
Mexico,Caturra,Washed / Wet,7.25,6.92,7.33
Colombia,,,7.25,7.17,6.75
Guatemala,,,7.08,7,7.33
Nicaragua,Caturra,Natural / Dry,6.92,6.92,7.42
Taiwan,Typica,Natural / Dry,6.92,7,7
Colombia,Caturra,Washed / Wet,7.83,7.5,7.42
Mexico,Caturra,Washed / Wet,7.25,7.08,7.25
Mexico,Typica,Washed / Wet,7.25,7.33,7.25
Guatemala,Bourbon,Washed / Wet,7.08,7.33,7.58
Guatemala,Other,Washed / Wet,7.25,7.33,7
Mexico,Typica,Washed / Wet,7,6.83,7.42
Cote d?Ivoire,,Washed / Wet,7.42,7.25,7
Colombia,Caturra,Washed / Wet,7.42,7.25,7.25
Mexico,Typica,Washed / Wet,7,7,7.33
Mexico,Typica,Washed / Wet,7.42,7.17,7.17
Guatemala,Bourbon,Washed / Wet,7.17,6.5,7.25
Taiwan,Typica,Washed / Wet,7.08,6.83,7.25
Mexico,Bourbon,Washed / Wet,7,7,7.17
Guatemala,Bourbon,Washed / Wet,7.33,7.42,7.42
Honduras,Catuai,Washed / Wet,7.58,7,6.92
Guatemala,Bourbon,Washed / Wet,7.08,7,7.42
Guatemala,Catuai,Washed / Wet,7.25,7.17,7.25
Costa Rica,Catuai,Washed / Wet,7.17,7.42,8
Mexico,Typica,Washed / Wet,7.25,7.08,7.08
Mexico,Typica,Washed / Wet,7.17,6.92,7.08
Mexico,Typica,,6.75,6.75,7.25
Guatemala,Bourbon,Washed / Wet,7.58,7.67,7.42
United States (Puerto Rico),Other,Washed / Wet,7.42,7.08,7.33
Mexico,Typica,Washed / Wet,7.33,7,7.25
Mexico,Mundo Novo,Washed / Wet,7.25,7.08,7.33
Mexico,Typica,Washed / Wet,7.17,7.25,7.17
,,,6.75,6.75,6.83
Guatemala,Other,Washed / Wet,7.33,7.17,7.42
Honduras,Pacas,Washed / Wet,7,7,7
Peru,Typica,Washed / Wet,7.67,7.17,7.25
Mexico,Mundo Novo,Natural / Dry,6.75,7.08,7.25
Mexico,Typica,Semi-washed / Semi-pulped,7.5,7.17,7.5
Mexico,Typica,Washed / Wet,7.17,6.83,7.25
Mexico,Typica,Washed / Wet,7.33,7,7.08
Mexico,Typica,Washed / Wet,7.5,7,7.08
Nicaragua,Caturra,Other,7.17,7,7
United States (Hawaii),,Natural / Dry,7.5,6.92,7.25
Guatemala,Bourbon,Washed / Wet,7.33,7.08,7.25
Mexico,Typica,Washed / Wet,7.25,6.83,7
Mexico,Typica,Semi-washed / Semi-pulped,7.25,7.33,7.25
Mexico,Bourbon,Washed / Wet,7.67,7.17,7.33
China,Typica,Washed / Wet,7,6.92,7.17
Mexico,Caturra,Washed / Wet,6.92,6.92,7.25
Nicaragua,,,7.08,7,6.83
Nicaragua,,Natural / Dry,6.83,7.08,6.75
Guatemala,Other,Washed / Wet,7.33,7.17,7.58
Taiwan,Typica,Washed / Wet,6.83,6.75,7.25
Mexico,Typica,Washed / Wet,7,7,7.33
Mexico,Typica,Washed / Wet,7.92,7.58,7.92
United States (Hawaii),,,7.92,6.83,7.42
Mexico,Bourbon,Washed / Wet,7.25,6.75,6.92
Mexico,Typica,Washed / Wet,7.08,6.83,7
Mexico,Caturra,Washed / Wet,7.25,7.17,6.83
Brazil,Catuai,Natural / Dry,6.83,7,7.08
Mexico,Typica,Washed / Wet,7.58,7.17,7.17
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.5,7.75,7.83
Guatemala,Other,Washed / Wet,7.17,6.5,7
Guatemala,Bourbon,Washed / Wet,7.17,7.17,7.17
Mexico,Typica,Natural / Dry,7.25,7.25,7.5
Guatemala,Bourbon,Washed / Wet,7.17,6.08,7.25
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.5,7.5,7.58
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.42,7.33,7.5
Indonesia,Java,Washed / Wet,6.92,6.83,6.92
Mexico,Typica,Washed / Wet,7.08,6.83,7.25
Taiwan,Yellow Bourbon,Washed / Wet,7.5,7.08,7.17
Honduras,Pacas,Natural / Dry,6.83,7,7
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.58,7.33,7.42
Guatemala,Other,Washed / Wet,7.42,7.25,7.33
China,Typica,Washed / Wet,7.33,7.17,7.08
Guatemala,Bourbon,Washed / Wet,7,6.83,7.17
Mexico,Other,Washed / Wet,7.25,7.33,7
Colombia,,,7.42,7.17,7.17
Costa Rica,Caturra,Washed / Wet,7.5,7.25,7
Mexico,Typica,Washed / Wet,7.42,7.25,7
Guatemala,Bourbon,Washed / Wet,7.17,6.17,7.08
Nicaragua,,,7.42,7,7.17
Brazil,,Washed / Wet,7,6.75,6.83
Guatemala,Bourbon,Washed / Wet,7,6.83,7.17
Taiwan,Typica,Washed / Wet,7.17,6.75,7.33
United States (Hawaii),,Natural / Dry,7.58,7.67,7.67
Mexico,Typica,Washed / Wet,7.17,6.75,6.75
Guatemala,Bourbon,Washed / Wet,7.08,6.92,7
Brazil,Bourbon,Natural / Dry,7.5,7.33,7.58
Guatemala,Other,Washed / Wet,7.33,7,7.17
Mexico,Typica,Washed / Wet,7.33,7,7
Haiti,Typica,Washed / Wet,6.83,6.83,6.75
United States (Hawaii),,Natural / Dry,7.08,6.92,6.67
Mexico,Other,Washed / Wet,7.08,7,7.25
Peru,Caturra,Washed / Wet,7.42,7.75,7.67
India,,Natural / Dry,7.67,7.33,6.67
Mexico,Typica,,6.67,6.33,6.83
Guatemala,Bourbon,Washed / Wet,6.42,6.5,7.33
Mexico,Typica,Washed / Wet,7.17,6.58,7
Guatemala,Bourbon,Washed / Wet,7.5,7,7.5
Guatemala,Bourbon,Washed / Wet,6.17,6.5,7.17
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.25,7.08,7.17
United States (Hawaii),,Natural / Dry,7.5,7.33,7.58
Mexico,Typica,Washed / Wet,7.42,7,7.08
Indonesia,Other,Natural / Dry,7.33,7,6.08
Mexico,Bourbon,Washed / Wet,7.08,6.83,7.17
Honduras,Pacas,Natural / Dry,6.83,6.83,6.83
Philippines,,Washed / Wet,6.83,6.5,6.92
Brazil,,Natural / Dry,7.17,7,7.5
Guatemala,Bourbon,Washed / Wet,7.92,7.58,7.58
Guatemala,Bourbon,Washed / Wet,6.67,6.5,7
Mexico,Pacamara,Washed / Wet,7.5,7.25,7
Mexico,Mundo Novo,Washed / Wet,7.17,6.92,6.83
Mexico,Other,Washed / Wet,7.25,6.83,7.08
Mexico,Typica,Washed / Wet,7.17,7.17,7.17
Mexico,Typica,Washed / Wet,7,6.92,6.92
Mexico,Typica,Washed / Wet,7.08,6.75,7
Mexico,Typica,Washed / Wet,7.33,6.75,7.25
Guatemala,Bourbon,Washed / Wet,6.75,6.5,7
Guatemala,Bourbon,Washed / Wet,6.75,6.67,7.17
Mexico,Typica,Washed / Wet,7.08,7,7.5
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.5,7.25,7.25
Guatemala,Bourbon,Washed / Wet,6.5,6.33,7.5
Mexico,Typica,Washed / Wet,7,6.58,6.83
Mexico,Typica,Washed / Wet,6.92,6.42,7.33
Mexico,Typica,Washed / Wet,7.67,7,7.58
United States (Hawaii),Hawaiian Kona,Natural / Dry,7.17,7.17,7.58
Brazil,,,7.25,6.58,7
Honduras,Pacas,Washed / Wet,7,7.17,7.17
Mexico,Typica,Washed / Wet,7.08,7.08,7.08
Colombia,,Natural / Dry,8,7.33,7.33
United States (Hawaii),Hawaiian Kona,Natural / Dry,6.92,6.92,7.5
Haiti,,,6.92,6.75,7.17
Costa Rica,Caturra,Washed / Wet,6.33,6.5,6.83
Mexico,Mundo Novo,Washed / Wet,6.92,6.92,6.92
Mexico,Bourbon,Washed / Wet,6.5,6.67,7.17
Mexico,Typica,Washed / Wet,6.92,7,6.92
Brazil,,Natural / Dry,7,7,7
Honduras,Catuai,Washed / Wet,6.67,6.5,6.67
Honduras,Catuai,Washed / Wet,7,6.17,6.67
Honduras,Catuai,Washed / Wet,7,6.33,6.5
Mexico,Bourbon,Washed / Wet,7.08,6.83,7.42
Haiti,Typica,Natural / Dry,6.75,6.58,6.67
Nicaragua,Caturra,Other,7.25,6.58,6.25
Guatemala,Catuai,Washed / Wet,7.5,6.67,7.67
Honduras,Caturra,,0,0,0
